categorie_interne;categorie_fr;groupe_uicategory;nom_interne;nom_fr;touche
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_3_short;Sélection : E.M.F. 3 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_3_long;Sélection : E.M.F. 3 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_4_short;Sélection : E.M.F. 4 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_4_long;Sélection : E.M.F. 4 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_5_short;Sélection : E.M.F. 5 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_5_long;Sélection : E.M.F. 5 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_6_short;Sélection : E.M.F. 6 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_6_long;Sélection : E.M.F. 6 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_7_short;Sélection : E.M.F. 7 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_7_long;Sélection : E.M.F. 7 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_8_short;Sélection : E.M.F. 8 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_8_long;Sélection : E.M.F. 8 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_9_short;Sélection : E.M.F. 9 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_9_long;Sélection : E.M.F. 9 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_10_short;Sélection : E.M.F. 10 (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_soft_select_mfd_10_long;Sélection : E.M.F. 10 (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_quick_action_repair_all;(libellé non trouvé: ui_CIMFD_Quick_Action_Repair_All);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_self_status_short;Changer de vue : État personnel (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_self_status_long;Changer de vue : État personnel (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_target_status_short;Changer de vue : État de la cible (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_target_status_long;Changer de vue : État de la cible (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_scanning_short;Changer de vue : Scan (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_scanning_long;Changer de vue : Scan (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_configuration_short;Changer de vue : Configuration du véhicule (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_configuration_long;Changer de vue : Configuration du véhicule (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_comms_short;Changer de vue : Communications (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_comms_long;Changer de vue : Communications (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_ifcs_short;Changer de vue : S.C.V.I. (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_ifcs_long;Changer de vue : S.C.V.I. (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_diagnostics_short;Changer de vue : Diagnostics (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_diagnostics_long;Changer de vue : Diagnostics (maintenir);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_resource_network_short;Changer de vue : Réseau de ressources (appuyer);non assigné
vehicle_mfd;Véhicules : Écrans multifonctions (E.M.F.);;v_mfd_select_view_resource_network_long;Changer de vue : Réseau de ressources (maintenir);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_yaw_left;Regarder à gauche;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_yaw_right;Regarder à droite;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_yaw;Regarder à gauche/droite;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_yaw_mouse;Regarder à gauche/droite;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_yaw_absolute;(libellé non trouvé);HMD_Yaw
spaceship_view;Véhicules : vue;VOL;v_view_pitch_up;Regarder vers le haut;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_pitch_down;Regarder vers le bas;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_pitch;Regarder vers le haut/bas;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_pitch_mouse;Regarder vers le haut/bas;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_pitch_absolute;(libellé non trouvé);HMD_Pitch
spaceship_view;Véhicules : vue;VOL;v_view_roll_absolute;(libellé non trouvé);HMD_Roll
spaceship_view;Véhicules : vue;VOL;v_view_cycle_fwd;Parcourir les vues caméra;f4
spaceship_view;Véhicules : vue;VOL;v_view_cycle_internal_fwd;(libellé non trouvé);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_option;(libellé non trouvé);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_mode;Parcourir le mode Orbite de la caméra;non assigné
spaceship_view;Véhicules : vue;VOL;v_view_zoom_in;Zoom avant (vue à la 3e personne);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_zoom_out;Zoom arrière (vue à la 3e personne);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_interact;(libellé non trouvé);f
spaceship_view;Véhicules : vue;VOL;v_view_freelook_mode;Caméra libre (maintenir);z
spaceship_view;Véhicules : vue;VOL;v_view_dynamic_zoom_rel;Zoom avant et arrière dynamique (rel.);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_dynamic_zoom_rel_in;Zoom avant dynamique (rel.);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_dynamic_zoom_rel_out;Zoom arrière dynamique (rel.);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_dynamic_zoom_abs;Zoom avant et arrière dynamique (abs.);non assigné
spaceship_view;Véhicules : vue;VOL;v_view_dynamic_zoom_abs_toggle;Zoom dynamique ON/OFF (abs.);non assigné
spaceship_view;Véhicules : vue;VOL;v_ads_hold;(EN) Precision Targeting - Hold;non assigné
spaceship_view;Véhicules : vue;VOL;v_ads_toggle;(EN) Precision Targeting - Toggle On / Off;mouse2
spaceship_view;Véhicules : vue;VOL;v_ads_stable_max_zoom_hold;(EN) Precision Targeting - Maximum Zoom (hold);mouse2
spaceship_view;Véhicules : vue;VOL;v_ads_cycle_tracking;(EN) Precision Targeting - Toggle Camera Tracking;ralt+mouse2
spaceship_movement;Vol : mouvement;VOL;v_pitch_up;Tangage vers le haut;down
spaceship_movement;Vol : mouvement;VOL;v_pitch_down;Tangage vers le bas;up
spaceship_movement;Vol : mouvement;VOL;v_pitch;Tangage;non assigné
spaceship_movement;Vol : mouvement;VOL;v_pitch_mouse;Tangage;non assigné
spaceship_movement;Vol : mouvement;VOL;v_yaw_left;Lacet vers la gauche;left
spaceship_movement;Vol : mouvement;VOL;v_yaw_right;Lacet vers la droite;right
spaceship_movement;Vol : mouvement;VOL;v_yaw;Lacet;non assigné
spaceship_movement;Vol : mouvement;VOL;v_yaw_mouse;Lacet;non assigné
spaceship_movement;Vol : mouvement;VOL;v_roll_left;Roulis vers la gauche;q
spaceship_movement;Vol : mouvement;VOL;v_roll_right;Roulis vers la droite;e
spaceship_movement;Vol : mouvement;VOL;v_roll;Roulade;non assigné
spaceship_movement;Vol : mouvement;VOL;v_roll_mouse;Roulade;non assigné
spaceship_movement;Vol : mouvement;VOL;v_toggle_relative_mouse_mode;Parcourir les modes de souris (VJoy/relatif);non assigné
spaceship_movement;Vol : mouvement;VOL;v_toggle_yaw_roll_swap;Intervertir lacet/roulis (ON/OFF);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_up;Déplacement vers le haut (abs.);space
spaceship_movement;Vol : mouvement;VOL;v_strafe_down;Déplacement vers le bas (abs.);lctrl
spaceship_movement;Vol : mouvement;VOL;v_strafe_vertical;Déplacement vers le haut/bas (abs.);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_left;Gauche (abs.);a
spaceship_movement;Vol : mouvement;VOL;v_strafe_right;Déplacement vers la droite (abs.);d
spaceship_movement;Vol : mouvement;VOL;v_strafe_lateral;Déplacement vers la gauche/droite (abs.);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_forward;(EN) Throttle - Increase;w
spaceship_movement;Vol : mouvement;VOL;v_strafe_back;(EN) Throttle - Decrease;s
spaceship_movement;Vol : mouvement;VOL;v_strafe_longitudinal;(EN) Throttle - Forward / Back;non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_longitudinal_invert;Déplacement vers l’avant/l’arrière inversé;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_throttle_swap_mode;(EN) Throttle - Cruise Mode - Toggle;lalt+c
spaceship_movement;Vol : mouvement;VOL;v_ifcs_throttle_set_sticky;(EN) Throttle - Cruise Mode - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_throttle_set_normal;(EN) Throttle - Cruise Mode - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_set_long;(EN) Throttle - Trim - Set (Long Press);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_set_short;(EN) Throttle - Trim - Set (Short Press);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_set_100_long;(EN) Throttle - Trim - Set To 100% (Long Press);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_set_100_short;(EN) Throttle - Trim - Set To 100% (Short Press);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_set_50_long;(EN) Throttle - Trim - Set To 50% (Long Press);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_set_50_short;(EN) Throttle - Trim - Set To 50% (Short Press);non assigné
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_reset_long;(EN) Throttle - Trim - Release (Long Press);x
spaceship_movement;Vol : mouvement;VOL;v_strafe_trim_reset_short;(EN) Throttle - Trim - Release (Short Press);x
spaceship_movement;Vol : mouvement;VOL;v_ifcs_vector_decoupling_toggle;Mode Découplé (activer ou désactiver);c
spaceship_movement;Vol : mouvement;VOL;v_ifcs_vector_decoupling_on;Activer le mode Couplé;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_vector_decoupling_off;Désactiver le mode Découplé;non assigné
spaceship_movement;Vol : mouvement;VOL;v_afterburner;Boost;lshift
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_up;(EN) Speed Limiter - Increase (hold);non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_down;(EN) Speed Limiter - Decrease (hold);non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_increment;(EN) Speed Limiter - Step Up (tap);lalt+mwheel_up
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_decrement;(EN) Speed Limiter - Step Down (tap);lalt+mwheel_down
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_rel;(EN) Speed Limiter (rel);non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_abs;(EN) Speed Limiter (abs);non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_toggle;(EN) Speed Limiter - Enable / Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_on;(EN) Speed Limiter - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_speed_limiter_off;(EN) Speed Limiter - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_accel_range_up;(EN) Acceleration Limiter - Increase (hold);non assigné
spaceship_movement;Vol : mouvement;VOL;v_accel_range_down;(EN) Acceleration Limiter - Decrease (hold);non assigné
spaceship_movement;Vol : mouvement;VOL;v_accel_range_increment;(EN) Acceleration Limiter - Step Up (tap);ralt+mwheel_up
spaceship_movement;Vol : mouvement;VOL;v_accel_range_decrement;(EN) Acceleration Limiter - Step Down (tap);ralt+mwheel_down
spaceship_movement;Vol : mouvement;VOL;v_accel_range_rel;(EN) Acceleration Limiter (rel);non assigné
spaceship_movement;Vol : mouvement;VOL;v_accel_range_abs;(EN) Acceleration Limiter (abs);non assigné
spaceship_movement;Vol : mouvement;VOL;v_space_brake;Frein spatial;x
spaceship_movement;Vol : mouvement;VOL;v_lock_rotation;Verrouiller le mouvement de tangage/lacet (ON/OFF, maintenir);rshift
spaceship_movement;Vol : mouvement;VOL;v_ifcs_gsafe_on;(EN) G-Force safety on;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_gsafe_off;(EN) G-Force safety off;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_toggle_gforce_safety;Sécurité anti-G ON/OFF (alterner/maintenir);non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_toggle_esp;A.P.J. : ON/OFF (appuyer);non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_esp_hold;A.P.J. : Activer temporairement (maintenir);non assigné
spaceship_movement;Vol : mouvement;VOL;v_toggle_landing_system;Système d’atterrissage (ON/OFF);n
spaceship_movement;Vol : mouvement;VOL;v_toggle_docking_request;Amarrage\n(Initialiser);ralt+n
spaceship_movement;Vol : mouvement;VOL;v_deploy_landing_system;Système d’atterrissage (déployer);non assigné
spaceship_movement;Vol : mouvement;VOL;v_retract_landing_system;Système d’atterrissage (rétracter);non assigné
spaceship_movement;Vol : mouvement;VOL;v_vtol_toggle;ADAV ON/OFF;k
spaceship_movement;Vol : mouvement;VOL;v_vtol_on;Activer le DAV;non assigné
spaceship_movement;Vol : mouvement;VOL;v_vtol_off;Désactiver le DAV;non assigné
spaceship_movement;Vol : mouvement;VOL;v_transform_deploy;Déployer la configuration;non assigné
spaceship_movement;Vol : mouvement;VOL;v_transform_retract;Rétracter la configuration;non assigné
spaceship_movement;Vol : mouvement;VOL;v_transform_cycle;Parcourir les configurations;lalt+k
spaceship_movement;Vol : mouvement;VOL;v_autoland;Atterrissage automatique;n
spaceship_movement;Vol : mouvement;VOL;v_atc_request;Demande d’atterrissage;lalt+n
spaceship_movement;Vol : mouvement;VOL;v_atc_loading_area_request;(EN) Request Cargo Loading;ralt+n
spaceship_movement;Vol : mouvement;VOL;v_master_mode_cycle;Changer le mode de contrôles;non assigné
spaceship_movement;Vol : mouvement;VOL;v_master_mode_cycle_long;Mode de contrôles : alterner entre M.C.S. et NAV (maintenir);b
spaceship_movement;Vol : mouvement;VOL;v_master_mode_set_nav;Modes de contrôles : définir le NAV;non assigné
spaceship_movement;Vol : mouvement;VOL;v_master_mode_set_scm;Modes de contrôles : activer le M.C.S.;non assigné
spaceship_movement;Vol : mouvement;VOL;v_toggle_jump_request;Module de saut : demande de saut;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_gravity_compensation_toggle;(EN) IFCS - Gravity Compensation - Toggle;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_gravity_compensation_on;(EN) IFCS - Gravity Compensation - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_gravity_compensation_off;(EN) IFCS - Gravity Compensation - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_wind_compensation_toggle;(EN) IFCS - Wind Compensation - Toggle;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_wind_compensation_on;(EN) IFCS - Wind Compensation - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_wind_compensation_off;(EN) IFCS - Wind Compensation - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_auto_precision_mode_toggle;(EN) Automatic Precision Mode - Toggle;non assigné
spaceship_movement;Vol : mouvement;VOL;v_auto_precision_mode_on;(EN) Automatic Precision Mode - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_auto_precision_mode_off;(EN) Automatic Precision Mode - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_proximity_assist_toggle;(EN) IFCS - Proximity Assist - Toggle;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_proximity_assist_on;(EN) IFCS - Proximity Assist - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_proximity_assist_off;(EN) IFCS - Proximity Assist - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_stability_toggle;(EN) IFCS - Stability - Toggle;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_stability_on;(EN) IFCS - Stability - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_stability_off;(EN) IFCS - Stability - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_command_toggle;Commandes réactives du S.C.V.I. : ON/OFF;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_command_on;Commandes réactives du S.C.V.I. : ON;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_command_off;Commandes réactives du S.C.V.I. : OFF;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_core_toggle;(EN) IFCS - Core - Toggle On / Off;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_core_on;(EN) IFCS - Core - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_core_off;(EN) IFCS - Core - Disable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_ifcs_reset_gmeter_max;(EN) Reset Flight Accelerometer;ralt+c
spaceship_movement;Vol : mouvement;VOL;v_flight_advanced_hud_toggle;(EN) Advanced HUD - Toggle;non assigné
spaceship_movement;Vol : mouvement;VOL;v_flight_advanced_hud_on;(EN) Advanced HUD - Enable;non assigné
spaceship_movement;Vol : mouvement;VOL;v_flight_advanced_hud_off;(EN) Advanced HUD - Disable;non assigné
spaceship_quantum;Vol : voyage quantique;;v_toggle_qdrive_engagement;Activer la propulsion quantique (maintenir);mouse1
